2026/02/23 20:24:46 model loaded
2026/02/23 20:24:46 database connected
2026/02/23 20:24:46 migrations applied
2026/02/23 20:24:46 listening on :9124
2026/02/23 20:24:47 GET /search 200 54ms
2026/02/23 20:24:55 GET /agent-contexts 200 3ms
2026/02/23 20:24:57 GET /agent-contexts 200 1ms
2026/02/23 20:24:57 GET /health 200 1ms
2026/02/23 20:24:57 GET /health 200 1ms
2026/02/23 20:24:57 GET /stats 200 17ms
2026/02/23 20:24:57 GET /agent-contexts 200 2ms
2026/02/23 20:24:57 GET /stats 200 2ms
2026/02/23 20:24:57 GET /search 200 53ms
2026/02/23 20:24:57 GET /search 200 51ms
2026/02/23 20:24:58 GET /agent-contexts 200 1ms
2026/02/23 20:24:58 GET /stats 200 2ms
2026/02/23 20:24:58 GET /agent-contexts 200 1ms
2026/02/23 20:24:58 GET /stats 200 1ms
2026/02/23 20:24:58 GET /health 200 13ms
2026/02/23 20:24:58 GET /health 200 1ms
2026/02/23 20:24:58 GET /search 200 59ms
2026/02/23 20:24:59 GET /search 200 55ms
2026/02/23 20:25:00 GET /health 200 2ms
2026/02/23 20:25:00 GET /stats 200 2ms
2026/02/23 20:25:00 GET /agent-contexts 200 4ms
2026/02/23 20:25:00 GET /health 200 1ms
2026/02/23 20:25:00 GET /stats 200 1ms
2026/02/23 20:25:00 GET /agent-contexts 200 1ms
2026/02/23 20:25:00 GET /search 200 53ms
2026/02/23 20:25:00 GET /search 200 50ms
2026/02/23 20:25:05 GET /agent-contexts 200 2ms
2026/02/23 20:25:05 GET /health 200 2ms
2026/02/23 20:25:05 GET /stats 200 4ms
2026/02/23 20:25:05 GET /health 200 0s
2026/02/23 20:25:05 GET /agent-contexts 200 1ms
2026/02/23 20:25:05 GET /stats 200 1ms
2026/02/23 20:25:05 GET /search 200 51ms
2026/02/23 20:25:05 GET /search 200 49ms
2026/02/23 20:25:06 GET /agent-contexts 200 1ms
2026/02/23 20:25:06 GET /health 200 2ms
2026/02/23 20:25:06 GET /stats 200 3ms
2026/02/23 20:25:06 GET /agent-contexts 200 1ms
2026/02/23 20:25:06 GET /health 200 1ms
2026/02/23 20:25:06 GET /stats 200 1ms
2026/02/23 20:25:06 GET /search 200 52ms
2026/02/23 20:25:06 GET /search 200 51ms
2026/02/23 20:25:08 GET /health 200 1ms
2026/02/23 20:25:08 GET /agent-contexts 200 2ms
2026/02/23 20:25:08 GET /stats 200 3ms
2026/02/23 20:25:08 GET /health 200 1ms
2026/02/23 20:25:08 GET /agent-contexts 200 1ms
2026/02/23 20:25:08 GET /stats 200 1ms
2026/02/23 20:25:08 GET /search 200 52ms
2026/02/23 20:25:08 GET /search 200 51ms
2026/02/23 20:25:09 GET /health 200 1ms
2026/02/23 20:25:09 GET /agent-contexts 200 1ms
2026/02/23 20:25:09 GET /stats 200 1ms
2026/02/23 20:25:09 GET /health 200 1ms
2026/02/23 20:25:09 GET /agent-contexts 200 1ms
2026/02/23 20:25:09 GET /stats 200 1ms
2026/02/23 20:25:09 GET /search 200 50ms
2026/02/23 20:25:09 GET /search 200 48ms
2026/02/23 20:25:14 GET /health 200 1ms
2026/02/23 20:25:14 GET /stats 200 2ms
2026/02/23 20:25:14 GET /search 200 52ms
2026/02/23 20:25:17 GET /agent-contexts 200 1ms
2026/02/23 20:25:19 GET /health 200 1ms
2026/02/23 20:25:19 GET /stats 200 2ms
2026/02/23 20:25:19 GET /search 200 51ms
2026/02/23 20:25:24 GET /health 200 2ms
2026/02/23 20:25:24 GET /stats 200 2ms
2026/02/23 20:25:24 GET /search 200 51ms
2026/02/23 20:25:25 GET /agent-contexts 200 1ms
2026/02/23 20:25:29 GET /health 200 1ms
2026/02/23 20:25:29 GET /stats 200 2ms
2026/02/23 20:25:29 GET /search 200 53ms
2026/02/23 20:25:31 GET /agent-contexts 200 1ms
2026/02/23 20:25:31 GET /stats 200 2ms
2026/02/23 20:25:31 GET /agent-contexts 200 1ms
2026/02/23 20:25:31 GET /stats 200 1ms
2026/02/23 20:25:31 GET /health 200 1ms
2026/02/23 20:25:31 GET /health 200 1ms
2026/02/23 20:25:31 GET /search 200 56ms
2026/02/23 20:25:31 GET /search 200 57ms
2026/02/23 20:25:35 GET /agent-contexts 200 2ms
2026/02/23 20:25:35 GET /health 200 1ms
2026/02/23 20:25:35 GET /stats 200 1ms
2026/02/23 20:25:35 GET /agent-contexts 200 1ms
2026/02/23 20:25:35 GET /health 200 1ms
2026/02/23 20:25:35 GET /stats 200 1ms
2026/02/23 20:25:35 GET /search 200 50ms
2026/02/23 20:25:35 GET /search 200 49ms
2026/02/23 20:25:40 GET /health 200 1ms
2026/02/23 20:25:40 GET /stats 200 1ms
2026/02/23 20:25:40 GET /search 200 53ms
2026/02/23 20:25:43 GET /agent-contexts 200 2ms
2026/02/23 20:25:45 GET /stats 200 2ms
2026/02/23 20:25:45 GET /health 200 2ms
2026/02/23 20:25:45 GET /search 200 50ms
2026/02/23 20:25:50 GET /health 200 1ms
2026/02/23 20:25:50 GET /stats 200 2ms
2026/02/23 20:25:50 GET /search 200 51ms
2026/02/23 20:25:51 GET /agent-contexts 200 1ms
2026/02/23 20:25:55 GET /health 200 1ms
2026/02/23 20:25:55 GET /stats 200 2ms
2026/02/23 20:25:55 GET /search 200 50ms
2026/02/23 20:25:59 GET /agent-contexts 200 2ms
